,gameorder,game_id,lg_id,_iscopy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes
87841,43921,200011040TOR,NBA,1,2001,11/4/2000,4,0,WAS,Wizards,96,1454.1398,1448.9034,35.611168,TOR,Raptors,103,1469.4275,1474.6638,A,L,0.33992028,
87842,43922,200011040VAN,NBA,1,2001,11/4/2000,3,0,LAL,Lakers,98,1645.6931,1650.6794,56.014275,VAN,Grizzlies,89,1388.7146,1383.7283,A,W,0.71169716,
87843,43922,200011040VAN,NBA,0,2001,11/4/2000,3,0,VAN,Grizzlies,89,1388.7146,1383.7283,29.095755,LAL,Lakers,98,1645.6931,1650.6794,H,L,0.28830284,
87844,43923,200011050LAL,NBA,0,2001,11/5/2000,4,0,LAL,Lakers,108,1650.6794,1651.2969,56.070324,LAC,Clippers,103,1274.473,1273.8556,H,W,0.93941808,
87845,43923,200011050LAL,NBA,1,2001,11/5/2000,4,0,LAC,Clippers,103,1274.473,1273.8556,19.569317,LAL,Lakers,108,1650.6794,1651.2969,A,L,0.060581922999999996,
87846,43924,200011050PHO,NBA,1,2001,11/5/2000,4,0,HOU,Rockets,99,1487.4457,1484.7896,39.345005,PHO,Suns,104,1605.6398,1608.2959,A,L,0.22165871,
87847,43924,200011050PHO,NBA,0,2001,11/5/2000,4,0,PHO,Suns,104,1605.6398,1608.2959,52.021732,HOU,Rockets,99,1487.4457,1484.7896,H,W,0.77834129,
87848,43925,200011060DEN,NBA,1,2001,11/6/2000,4,0,DAL,Mavericks,108,1541.8649,1553.0457,46.471043,DEN,Nuggets,96,1431.1295,1419.9487,A,W,0.51544452,
87849,43925,200011060DEN,NBA,0,2001,11/6/2000,4,0,DEN,Nuggets,96,1431.1295,1419.9487,32.660542,DAL,Mavericks,108,1541.8649,1553.0457,H,L,0.48455551,
87850,43926,200011060ORL,NBA,1,2001,11/6/2000,4,0,SEA,Thunder,99,1498.6267,1491.5839999999998,40.056976,ORL,Magic,110,1507.889,1514.9318,A,L,0.34774536,
