Kommun_code,Year,Kommun_name,Revenue,Employee,Population,Population_University,Percent_University,Productivity,SalesIndex,Infrast,Border
1214,2010,Sval�v,45,40,13242,1109,0.08374868,56.38016,4.636744,0,0
1230,2010,Staffanstorp,252,127,22259,3215,0.14443596,99.44217,25.965765,0,0
1231,2010,Burl�v,1962,928,16701,1639,0.09813784,105.95581,202.162031,0,0
1233,2010,Vellinge,327,332,33303,5368,0.16118668,49.36094,33.693672,0,0
1256,2010,�stra G�inge,71,41,13590,877,0.06453274,86.78572,7.315751,0,0
1257,2010,�rkelljunga,113,42,9631,670,0.06956702,134.83509,11.643379,0,0
1260,2010,Bjuv,182,89,14841,732,0.04932282,102.48378,18.753053,0,0
1261,2010,K�vlinge,1455,559,29013,3911,0.13480164,130.44425,149.921384,0,0
1262,2010,Lomma,185,130,21559,4564,0.21169813,71.31849,19.062169,0,0
1263,2010,Svedala,202,134,19822,2185,0.11023106,75.54754,20.813828,0,0
1264,2010,Skurup,285,122,14981,1242,0.08290501,117.07355,29.366044,0,0
1265,2010,Sj�bo,311,196,18112,1422,0.07851148,79.52031,32.045052,0,0
1266,2010,H�rby,112,84,14840,1239,0.08349057,66.82093,11.54034,0,0
1267,2010,H��r,185,139,15460,1851,0.11972833,66.70075,19.062169,0,0
1270,2010,Tomelilla,365,225,12914,958,0.07418306,81.2988,37.609144,0,0
1272,2010,Brom�lla,230,139,12272,869,0.0708116,82.92525,23.698913,0,0
1273,2010,Osby,139,81,12724,895,0.07033952,86.00101,14.322387,0,0
1275,2010,Perstorp,22,12,7061,434,0.06146438,91.87878,2.266853,0,0
1276,2010,Klippan,157,80,16515,1139,0.06896761,98.35205,16.177084,0,0
1277,2010,�storp,876,326,14737,828,0.05618511,134.66672,90.261947,0,0
1278,2010,B�stad,267,128,14278,1784,0.12494747,104.53821,27.511347,0,0
1280,2010,Malm�,11217,5740,298963,50084,0.16752575,97.93515,1155.785679,1,0
1281,2010,Lund,3438,1561,110488,29233,0.26458077,110.37653,354.247229,0,0
1282,2010,Landskrona,596,363,41724,3713,0.08898955,82.28362,61.411096,0,0
1283,2010,Helsingborg,5528,3244,129177,16395,0.12691888,85.40061,569.59822,1,0
1284,2010,H�gan�s,193,186,24637,3439,0.1395868,52.00177,19.886479,0,0
1285,2010,Esl�v,440,243,31587,3066,0.09706525,90.74447,45.337051,0,0
1286,2010,Ystad,1011,503,28338,3277,0.11563978,100.72956,104.172178,0,0
1287,2010,Trelleborg,748,367,42219,3725,0.08823042,102.14316,77.072986,1,0
1290,2010,Kristianstad,2739,1285,79543,9507,0.11952026,106.82248,282.223141,0,0
1291,2010,Simrishamn,337,182,19297,2181,0.11302275,92.79665,34.724059,0,0
1292,2010,�ngelholm,952,467,39394,4488,0.11392598,102.16305,98.092892,0,0
1293,2010,H�ssleholm,1243,618,50107,4765,0.09509649,100.79905,128.077169,0,0
1315,2010,Hylte,190,98,10177,619,0.06082343,97.16308,19.577363,0,0
1380,2010,Halmstad,3196,1437,91800,11604,0.12640523,111.46121,329.311851,0,0
1381,2010,Laholm,316,210,23390,1851,0.07913638,75.41219,32.560246,0,0
1382,2010,Falkenberg,4395,2035,41008,3396,0.08281311,108.23513,452.855314,0,0
1383,2010,Varberg,1639,1109,58084,6151,0.10589835,74.06639,168.880514,0,0
1384,2010,Kungsbacka,2139,1038,75025,10461,0.13943352,103.2731,220.39989,0,0
1401,2010,H�rryda,220,160,34463,5137,0.14905841,68.90908,22.668525,0,0
1402,2010,Partille,1123,665,35084,5215,0.14864326,84.63147,115.712518,0,0
1407,2010,�cker�,99,54,12449,1310,0.10522934,91.87878,10.200836,0,0
